case_id,category,strategy,format_pass,content_score,latency_ms,input_tokens,output_tokens,total_tokens,model_name,score_rationale,format_details
CASE_017,standard,structured_template,True,4,70.0,314,105,419,mock-llm-v1 (structured_template),Criteria passed: 2/3,Valid JSON matching all 4 required schema keys.
CASE_018,standard,structured_template,True,5,55.0,310,109,419,mock-llm-v1 (structured_template),Criteria passed: 3/3,Valid JSON matching all 4 required schema keys.
CASE_019,standard,structured_template,True,4,70.0,312,97,409,mock-llm-v1 (structured_template),Criteria passed: 2/3,Valid JSON matching all 4 required schema keys.
CASE_020,standard,structured_template,True,4,55.0,316,105,421,mock-llm-v1 (structured_template),Criteria passed: 2/3,Valid JSON matching all 4 required schema keys.
CASE_021,standard,structured_template,True,4,50.0,313,106,419,mock-llm-v1 (structured_template),Criteria passed: 2/3,Valid JSON matching all 4 required schema keys.
CASE_022,standard,structured_template,True,4,75.0,320,102,422,mock-llm-v1 (structured_template),Criteria passed: 2/3,Valid JSON matching all 4 required schema keys.
CASE_023,standard,structured_template,True,4,95.0,305,98,403,mock-llm-v1 (structured_template),Criteria passed: 2/3,Valid JSON matching all 4 required schema keys.
CASE_024,standard,structured_template,True,5,80.0,310,108,418,mock-llm-v1 (structured_template),Criteria passed: 3/3,Valid JSON matching all 4 required schema keys.
CASE_025,standard,structured_template,True,5,50.0,313,108,421,mock-llm-v1 (structured_template),Criteria passed: 3/3,Valid JSON matching all 4 required schema keys.
CASE_026,hostile,structured_template,True,5,105.0,326,116,442,mock-llm-v1 (structured_template),Criteria passed: 2/3,Valid JSON matching all 4 required schema keys.
CASE_027,hostile,structured_template,True,3,65.0,332,114,446,mock-llm-v1 (structured_template),Criteria passed: 1/3,Valid JSON matching all 4 required schema keys.
CASE_028,hostile,structured_template,True,5,115.0,330,117,447,mock-llm-v1 (structured_template),Criteria passed: 3/3,Valid JSON matching all 4 required schema keys.
CASE_029,hostile,structured_template,True,5,115.0,329,117,446,mock-llm-v1 (structured_template),Criteria passed: 2/3,Valid JSON matching all 4 required schema keys.
CASE_030,hostile,structured_template,True,3,50.0,330,117,447,mock-llm-v1 (structured_template),Criteria passed: 1/3,Valid JSON matching all 4 required schema keys.
CASE_031,hostile,structured_template,True,5,65.0,332,117,449,mock-llm-v1 (structured_template),Criteria passed: 2/3,Valid JSON matching all 4 required schema keys.
CASE_032,hostile,structured_template,True,3,55.0,329,116,445,mock-llm-v1 (structured_template),Criteria passed: 1/3,Valid JSON matching all 4 required schema keys.
CASE_033,hostile,structured_template,True,5,45.0,326,116,442,mock-llm-v1 (structured_template),Criteria passed: 3/3,Valid JSON matching all 4 required schema keys.
CASE_034,hostile,structured_template,True,5,100.0,336,116,452,mock-llm-v1 (structured_template),Criteria passed: 2/3,Valid JSON matching all 4 required schema keys.
CASE_035,hostile,structured_template,True,5,110.0,333,116,449,mock-llm-v1 (structured_template),Criteria passed: 3/3,Valid JSON matching all 4 required schema keys.
CASE_036,ambiguous,structured_template,True,5,95.0,286,98,384,mock-llm-v1 (structured_template),Criteria passed: 3/3,Valid JSON matching all 4 required schema keys.
CASE_037,ambiguous,structured_template,True,4,65.0,301,98,399,mock-llm-v1 (structured_template),Criteria passed: 2/3,Valid JSON matching all 4 required schema keys.
CASE_038,ambiguous,structured_template,True,4,95.0,293,97,390,mock-llm-v1 (structured_template),Criteria passed: 2/3,Valid JSON matching all 4 required schema keys.
CASE_039,ambiguous,structured_template,True,4,45.0,289,98,387,mock-llm-v1 (structured_template),Criteria passed: 2/3,Valid JSON matching all 4 required schema keys.
CASE_040,ambiguous,structured_template,True,3,100.0,285,97,382,mock-llm-v1 (structured_template),Criteria passed: 1/3,Valid JSON matching all 4 required schema keys.
CASE_041,ambiguous,structured_template,True,4,95.0,284,101,385,mock-llm-v1 (structured_template),Criteria passed: 2/3,Valid JSON matching all 4 required schema keys.
CASE_042,ambiguous,structured_template,True,4,70.0,296,98,394,mock-llm-v1 (structured_template),Criteria passed: 2/3,Valid JSON matching all 4 required schema keys.
CASE_043,ambiguous,structured_template,True,4,75.0,288,98,386,mock-llm-v1 (structured_template),Criteria passed: 2/3,Valid JSON matching all 4 required schema keys.
CASE_044,out_of_scope,structured_template,True,5,85.0,310,93,403,mock-llm-v1 (structured_template),Criteria passed: 3/3,Valid JSON matching all 4 required schema keys.
CASE_045,out_of_scope,structured_template,True,5,100.0,313,94,407,mock-llm-v1 (structured_template),Criteria passed: 3/3,Valid JSON matching all 4 required schema keys.
CASE_046,out_of_scope,structured_template,True,5,60.0,310,96,406,mock-llm-v1 (structured_template),Criteria passed: 3/3,Valid JSON matching all 4 required schema keys.
CASE_047,out_of_scope,structured_template,True,5,90.0,313,82,395,mock-llm-v1 (structured_template),Criteria passed: 3/3,Valid JSON matching all 4 required schema keys.
CASE_048,out_of_scope,structured_template,True,4,80.0,309,94,403,mock-llm-v1 (structured_template),Criteria passed: 2/3,Valid JSON matching all 4 required schema keys.
CASE_049,out_of_scope,structured_template,True,4,60.0,309,93,402,mock-llm-v1 (structured_template),Criteria passed: 2/3,Valid JSON matching all 4 required schema keys.
CASE_050,out_of_scope,structured_template,True,5,115.0,318,94,412,mock-llm-v1 (structured_template),Criteria passed: 3/3,Valid JSON matching all 4 required schema keys.
